name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats
Maruti Swift VDI BSIV W ABS,2011,4350.0,77000,Diesel,Individual,Manual,Second Owner,,,,,
Toyota Fortuner 2.8 4WD AT BSIV,2017,44250.0,50000,Diesel,Individual,Automatic,First Owner,15.04 kmpl,2755 CC,174.5 bhp,450Nm@ 1600-2400rpm,7.0
Maruti Swift Dzire VDI,2017,9075.0,127000,Diesel,Individual,Manual,First Owner,28.4 kmpl,1248 CC,74.02 bhp,190Nm@ 2000rpm,5.0
Honda WR-V i-VTEC VX,2017,10800.0,30000,Petrol,Individual,Manual,First Owner,17.5 kmpl,1199 CC,88.7 bhp,110Nm@ 4800rpm,5.0
Maruti Ertiga SHVS ZDI Plus,2017,12000.0,70000,Diesel,Individual,Manual,First Owner,24.52 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,7.0
Mahindra XUV500 W10 2WD,2017,19875.0,54000,Diesel,Individual,Manual,First Owner,16.0 kmpl,2179 CC,140 bhp,330Nm@ 1600-2800rpm,7.0
Mitsubishi Pajero 2.8 SFX BSIII Single Tone,2011,9375.0,120000,Diesel,Individual,Manual,Second Owner,10.5 kmpl,2835 CC,116.9 bhp,292Nm@ 2000rpm,6.0
Hyundai i20 1.4 CRDi Sportz,2011,5250.0,116500,Diesel,Individual,Manual,First Owner,23.0 kmpl,1396 CC,90 bhp,22.4 kgm at 1750-2750rpm,5.0
Toyota Innova 2.5 G (Diesel) 8 Seater,2012,9000.0,145000,Diesel,Individual,Manual,Second Owner,12.99 kmpl,2494 CC,100 bhp,200Nm@ 1400-3400rpm,8.0
Hyundai i20 Sportz 1.2,2012,4500.0,120000,Petrol,Individual,Manual,First Owner,18.5 kmpl,1197 CC,82.85 bhp,113.7Nm@ 4000rpm,5.0
Tata New Safari DICOR 2.2 VX 4x2 BS IV,2011,3600.0,120000,Diesel,Individual,Manual,First Owner,13.93 kmpl,2179 CC,138.1 bhp,320Nm@ 1700-2700rpm,7.0
Ford Figo 1.5D Trend MT,2016,5655.0,80000,Diesel,Individual,Manual,First Owner,25.83 kmpl,1498 CC,99 bhp,215Nm@ 1750-3000rpm,5.0
Maruti Ertiga VXI,2013,6750.0,140000,Petrol,Individual,Manual,First Owner,16.02 kmpl,1373 CC,93.7 bhp,130Nm@ 4000rpm,7.0
Hyundai Verna Xi (Petrol),2008,2400.0,100000,Petrol,Individual,Manual,Fourth & Above Owner,13.9 kmpl,1599 CC,103.2 bhp,"14.9@ 3,000(kgm@ rpm)",5.0
Hyundai Xcent 1.2 VTVT E,2019,7875.0,100000,Petrol,Individual,Manual,First Owner,20.14 kmpl,1197 CC,81.86 bhp,113.75nm@ 4000rpm,5.0
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,2011,8250.0,168000,Diesel,Individual,Manual,Second Owner,12.8 kmpl,2494 CC,102 bhp,20.4@ 1400-3400(kgm@ rpm),8.0
Chevrolet Cruze LTZ,2010,4050.0,120000,Diesel,Individual,Manual,Third Owner,18.3 kmpl,1991 CC,147.9 bhp,327Nm@ 2600rpm,5.0
Toyota Etios GD,2016,8550.0,145000,Diesel,Individual,Manual,Second Owner,23.59 kmpl,1364 CC,67.05 bhp,170Nm@ 1800-2400rpm,5.0
Ford Figo Diesel Titanium,2011,3375.0,90000,Diesel,Individual,Manual,Second Owner,20.0 kmpl,1399 CC,68 bhp,160Nm@ 2000rpm,5.0
Hyundai Xcent 1.2 VTVT S,2019,8850.0,90000,Petrol,Individual,Manual,First Owner,20.14 kmpl,1197 CC,81.86 bhp,113.75nm@ 4000rpm,5.0
Jeep Compass 2.0 Longitude Option BSIV,2018,25125.0,80000,Diesel,Individual,Manual,First Owner,17.1 kmpl,1956 CC,170 bhp,350Nm@ 1750-2500rpm,5.0
Ford Aspire Titanium BSIV,2019,12000.0,33000,Petrol,Dealer,Manual,First Owner,19.4 kmpl,1194 CC,94.93 bhp,120Nm@ 4250rpm,5.0
Chevrolet Sail 1.2 LS ABS,2014,6750.0,13500,Petrol,Individual,Manual,First Owner,18.2 kmpl,1199 CC,82.4 bhp,108.5Nm@ 5000rpm,5.0
Tata Indigo LX,2012,4500.0,80000,Diesel,Individual,Manual,First Owner,17.0 kmpl,1405 CC,70 bhp,"13.5@ 2,500(kgm@ rpm)",5.0
Hyundai i20 1.2 Spotz,2017,9675.0,20000,Petrol,Individual,Manual,First Owner,18.6 kmpl,1197 CC,81.83 bhp,114.7Nm@ 4000rpm,5.0
Maruti Swift Dzire VDI,2013,7800.0,58000,Diesel,Individual,Manual,First Owner,23.4 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0
Hyundai EON Magna Plus,2013,3000.0,40000,Petrol,Individual,Manual,First Owner,21.1 kmpl,814 CC,55.2 bhp,74.5Nm@ 4000rpm,5.0
Honda City i VTEC V,2015,10500.0,30000,Petrol,Individual,Manual,First Owner,17.4 kmpl,1497 CC,117.3 bhp,145Nm@ 4600rpm,5.0
Maruti 800 AC,2000,675.0,50000,Petrol,Individual,Manual,Second Owner,16.1 kmpl,796 CC,37 bhp,59Nm@ 2500rpm,4.0
Ford Figo Aspire 1.5 TDCi Ambiente,2016,6899.985,73000,Diesel,Individual,Manual,First Owner,25.83 kmpl,1498 CC,99 bhp,215Nm@ 1750-3000rpm,5.0
Maruti Ritz VDi,2014,4875.0,90000,Diesel,Individual,Manual,Second Owner,23.2 kmpl,1248 CC,73.94 bhp,190Nm@ 2000rpm,5.0
Maruti Wagon R VXI BS IV,2015,5250.0,50000,Petrol,Individual,Manual,Second Owner,20.51 kmpl,998 CC,67.04 bhp,90Nm@ 3500rpm,5.0
Hyundai Verna 1.6 CRDI,2011,6600.0,80000,Diesel,Individual,Manual,Third Owner,22.32 kmpl,1582 CC,126.3 bhp,259.9Nm@ 1900-2750rpm,5.0
Hyundai i20 1.4 CRDi Magna,2011,4800.0,70000,Diesel,Individual,Manual,Second Owner,21.9 kmpl,1396 CC,90 bhp,22.4 kgm at 1750-2750rpm,5.0
Chevrolet Spark 1.0 LS,2011,2535.0,41000,Petrol,Individual,Manual,First Owner,18.0 kmpl,995 CC,62 bhp,90.3Nm@ 4200rpm,5.0
Volkswagen Polo Petrol Comfortline 1.2L,2013,5250.0,50000,Petrol,Individual,Manual,Fourth & Above Owner,16.47 kmpl,1198 CC,73.9 bhp,110Nm@ 3750rpm,5.0
Ford Classic 1.4 Duratorq Titanium,2014,5250.0,113226,Diesel,Dealer,Manual,First Owner,19.68 kmpl,1399 CC,67 bhp,160Nm@ 2000rpm,5.0
Ford Figo Diesel Celebration Edition,2013,4650.0,90000,Diesel,Individual,Manual,Second Owner,20.0 kmpl,1399 CC,68.1 bhp,160Nm@ 2000rpm,5.0
Maruti Swift 1.3 VXi,2007,2250.0,70000,Petrol,Individual,Manual,Third Owner,,,,,
Mahindra Scorpio M2DI,2010,6300.0,160500,Diesel,Individual,Manual,Fourth & Above Owner,13.5 kmpl,2179 CC,115 bhp,277.5Nm@ 1700-2200rpm,5.0
Maruti Ciaz AT ZXi,2015,10275.0,30000,Petrol,Individual,Automatic,First Owner,19.12 kmpl,1373 CC,91.1 bhp,130Nm@ 4000rpm,5.0
Renault Duster 4x4,2014,8400.0,132000,Diesel,Individual,Manual,Second Owner,19.72 kmpl,1461 CC,108.45 bhp,245Nm@ 1750rpm,5.0
Maruti Swift VDI,2013,7050.0,120000,Diesel,Individual,Manual,Third Owner,22.9 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0
Hyundai Verna Transform VTVT,2011,5700.0,80000,Petrol,Individual,Manual,Second Owner,16.2 kmpl,1599 CC,103.2 bhp,14.9 KGM at 3000 RPM,5.0
Mahindra Scorpio 1.99 S6 Plus,2015,10050.0,57000,Diesel,Individual,Manual,Second Owner,15.4 kmpl,1997 CC,120 bhp,280Nm@ 1800-2800rpm,7.0
Maruti Swift Dzire LXI 1.2 BS IV,2018,8250.0,5000,Petrol,Individual,Manual,First Owner,22.0 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm,5.0
Hyundai Verna 1.6 VTVT SX,2016,11235.0,25000,Petrol,Individual,Manual,First Owner,17.01 kmpl,1591 CC,121.3 bhp,154.9Nm@ 4200rpm,5.0
Hyundai Creta 1.6 CRDi SX Option,2015,13485.0,80000,Diesel,Individual,Manual,Second Owner,19.67 kmpl,1582 CC,126.2 bhp,259.9Nm@ 1900-2750rpm,5.0
Chevrolet Optra Magnum 2.0 LS BSIII,2011,4350.0,88000,Diesel,Individual,Manual,Third Owner,16.52 kmpl,1991 CC,123.7 bhp,305Nm@ 2000rpm,5.0
Toyota Innova 2.5 VX (Diesel) 7 Seater,2014,13049.984999999999,217000,Diesel,Individual,Manual,Second Owner,12.99 kmpl,2494 CC,100.6 bhp,200Nm@ 1400-3400rpm,7.0
Datsun GO Plus A,2015,5250.0,60000,Petrol,Individual,Manual,First Owner,20.62 kmpl,1198 CC,67 bhp,104Nm@ 4000rpm,7.0
Maruti Swift Dzire VXI,2017,7500.0,43000,Petrol,Individual,Manual,First Owner,20.85 kmpl,1197 CC,83.14 bhp,115Nm@ 4000rpm,5.0
Skoda Rapid 1.5 TDI AT Ambition Plus,2014,6000.0,77000,Diesel,Individual,Automatic,Second Owner,21.66 kmpl,1498 CC,103.6 bhp,250Nm@ 1500-2500rpm,5.0
Renault KWID RXT,2016,3900.0,30000,Petrol,Individual,Manual,First Owner,25.17 kmpl,799 CC,53.3 bhp,72Nm@ 4386rpm,5.0
Maruti Alto 800 LXI,2015,3300.0,40000,Petrol,Individual,Manual,Second Owner,22.74 kmpl,796 CC,47.3 bhp,69Nm@ 3500rpm,5.0
Chevrolet Enjoy TCDi LS 8 Seater,2014,2850.0,139000,Diesel,Individual,Manual,Second Owner,18.2 kmpl,1248 CC,73.8 bhp,172.5Nm@ 1750rpm,8.0
Hyundai Grand i10 Magna,2016,6000.0,80000,Petrol,Individual,Manual,First Owner,18.9 kmpl,1197 CC,82 bhp,114Nm@ 4000rpm,5.0
Chevrolet Beat Diesel LT Option,2014,2550.0,76000,Diesel,Individual,Manual,Second Owner,25.44 kmpl,936 CC,56.3 bhp,142.5Nm@ 1750rpm,5.0
Hyundai Elite i20 Magna Plus BSIV,2019,9750.0,3500,Petrol,Individual,Manual,First Owner,18.6 kmpl,1197 CC,81.86 bhp,117nm@ 4000rpm,5.0
Maruti 800 AC BSIII,2007,900.0,62000,Petrol,Individual,Manual,Second Owner,16.1 kmpl,796 CC,37 bhp,59Nm@ 2500rpm,4.0
Tata New Safari 4X2,2007,4500.0,110000,Petrol,Individual,Manual,Second Owner,12.0 kmpl,2092 CC,127 bhp,"20@ 3,750(kgm@ rpm)",7.0
Chevrolet Spark 1.0 LT,2012,1875.0,40000,Petrol,Individual,Manual,Second Owner,16.2 kmpl,995 CC,62.1 bhp,90.3Nm@ 4200rpm,5.0
Tata Indica Vista Aqua 1.3 Quadrajet (ABS),2013,1950.0,120000,Diesel,Individual,Manual,Second Owner,,,,,
Mahindra XUV500 W6 2WD,2012,7500.0,1500000,Diesel,Individual,Manual,First Owner,15.1 kmpl,2179 CC,140 bhp,330Nm@ 1600-2800rpm,7.0
Maruti Alto LX,2011,2550.0,70000,Petrol,Individual,Manual,Third Owner,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm,5.0
Maruti Swift Dzire LDi,2012,4650.0,77000,Diesel,Individual,Manual,Second Owner,19.3 kmpl,1248 CC,73.9 bhp,190Nm@ 2000rpm,5.0
Chevrolet Spark 1.0 LT,2011,1950.0,110000,Petrol,Individual,Manual,Second Owner,18.0 kmpl,995 CC,62 bhp,90.3Nm@ 4200rpm,5.0
Maruti Wagon R VXI Optional,2016,6975.0,20000,Petrol,Individual,Manual,First Owner,20.51 kmpl,998 CC,67.04 bhp,90Nm@ 3500rpm,5.0
Mahindra Jeep MM 540,1995,2400.0,90000,Diesel,Individual,Manual,Third Owner,,,,,
Mercedes-Benz E-Class E270 CDI,2005,12000.0,120005,Diesel,Individual,Automatic,Second Owner,11.0 kmpl,2987 CC,198.5 bhp,"46.5@ 1,400-2,800(kgm@ rpm)",5.0
Maruti Alto K10 Knightracer,2012,3900.0,16830,Petrol,Individual,Manual,First Owner,20.2 kmpl,998 CC,67.1 bhp,90Nm@ 3500rpm,5.0
Mahindra Bolero 2011-2019 DI NON AC BS III SILVER,2013,7500.0,70000,Diesel,Individual,Manual,First Owner,15.96 kmpl,2523 CC,63 bhp,180Nm@ 1440-1500rpm,9.0
Renault KWID 1.0 RXT 02 Anniversary Edition,2017,4875.0,38000,Petrol,Individual,Manual,First Owner,23.01 kmpl,999 CC,67 bhp,91Nm@ 4250rpm,5.0
Mahindra Bolero 2011-2019 DI NON AC BS III White,2013,6000.0,80000,Diesel,Individual,Manual,First Owner,15.96 kmpl,2523 CC,63 bhp,180Nm@ 1440-1500rpm,9.0
Toyota Fortuner 2.8 4WD MT BSIV,2018,48000.0,50000,Diesel,Individual,Manual,First Owner,14.24 kmpl,2755 CC,174.5 bhp,420Nm@ 1400-2600rpm,7.0
Tata Indica V2 DLE BSIII,2007,3000.0,50000,Diesel,Individual,Manual,First Owner,17.88 kmpl,1396 CC,52.8 bhp,85Nm@ 2500rpm,5.0
Mahindra Quanto C2,2013,6750.0,52000,Diesel,Individual,Manual,First Owner,17.21 kmpl,1493 CC,100 bhp,240Nm@ 1600-2800rpm,7.0
Tata Indigo V BSIII,2012,3449.9849999999997,50000,Diesel,Individual,Manual,First Owner,17.0 kmpl,1405 CC,70 bhp,"13.5@ 2,500(kgm@ rpm)",5.0
Hyundai EON Magna Plus,2016,5100.0,30000,Petrol,Individual,Manual,First Owner,21.1 kmpl,814 CC,55.2 bhp,74.5Nm@ 4000rpm,5.0
Mahindra Bolero 2011-2019 SLE BSIII,2014,8250.0,103000,Diesel,Individual,Manual,First Owner,15.96 kmpl,2523 CC,62.1 bhp,195Nm@ 1400-2200rpm,7.0
Ford Endeavour 3.0L 4X4 AT,2011,14625.0,93468,Diesel,Individual,Automatic,Second Owner,11.4 kmpl,2953 CC,153.86 bhp,380Nm@ 2500rpm,7.0
Volvo XC40 D4 Inscription BSIV,2019,57000.0,20000,Diesel,Individual,Automatic,First Owner,18.0 kmpl,1969 CC,190 bhp,400Nm,5.0
Volkswagen Jetta 1.6 Trendline,2010,3375.0,80000,Petrol,Individual,Manual,Second Owner,14.0 kmpl,1595 CC,102 bhp,"15@ 3,800(kgm@ rpm)",5.0
Ford Endeavour 3.2 Titanium AT 4X4,2018,48750.0,12000,Diesel,Individual,Automatic,First Owner,10.91 kmpl,3198 CC,197 bhp,470Nm@ 1750-2500rpm,7.0
Tata Indigo eCS VX BSIV,2013,4200.0,70000,Diesel,Individual,Manual,First Owner,25.0 kmpl,1396 CC,69 bhp,140Nm@ 1800-3000rpm,5.0
Honda Amaze V Petrol BSIV,2019,10500.0,4500,Petrol,Individual,Manual,First Owner,19.5 kmpl,1199 CC,88.76 bhp,110Nm@ 4800rpm,5.0
Tata Indigo CS eLX BS IV,2012,3885.0,35000,Diesel,Individual,Manual,First Owner,23.03 kmpl,1396 CC,69 bhp,140Nm@ 1800-3000rpm,5.0
Toyota Fortuner 2.8 4WD AT BSIV,2018,48000.0,60000,Diesel,Individual,Automatic,First Owner,15.04 kmpl,2755 CC,174.5 bhp,450Nm@ 1600-2400rpm,7.0
Mahindra XUV500 W10 1.99 mHawk,2018,21000.0,30000,Diesel,Individual,Manual,First Owner,16.0 kmpl,1997 CC,140 bhp,320Nm@ 1600-2800rpm,7.0
Ford Figo 1.5P Titanium AT,2015,6240.0,40000,Petrol,Individual,Automatic,First Owner,17.01 kmpl,1499 CC,110.4 bhp,136Nm@ 4250rpm,5.0
Tata Manza ELAN Quadrajet BS III,2011,3750.0,70000,Diesel,Individual,Manual,First Owner,19.0 kmpl,1248 CC,90 bhp,200Nm@ 1750-3000rpm,5.0
Tata Manza Aura (ABS) Quadrajet BS IV,2010,3150.0,120000,Diesel,Individual,Manual,First Owner,21.12 kmpl,1248 CC,88.8 bhp,200Nm@ 1750-3000rpm,5.0
Mahindra Scorpio VLX 2WD BSIII,2008,4350.0,120000,Diesel,Individual,Manual,Second Owner,12.05 kmpl,2179 CC,120 bhp,290Nm@ 1800-2800rpm,8.0
Tata Indigo CS eLS BS IV,2012,3300.0,90000,Diesel,Individual,Manual,First Owner,23.03 kmpl,1396 CC,69 bhp,140Nm@ 1800-3000rpm,5.0
Tata Indigo eCS LX BSIV,2012,3690.0,35000,Diesel,Individual,Manual,Second Owner,23.03 kmpl,1396 CC,69 bhp,140Nm@ 1800-3000rpm,5.0
Maruti Omni E MPI STD BS IV,2018,3900.0,30000,Petrol,Individual,Manual,First Owner,16.8 kmpl,796 CC,34.2 bhp,59Nm@ 2500rpm,8.0
Hyundai Creta 1.4 CRDi S,2018,15750.0,70000,Diesel,Individual,Manual,First Owner,21.38 kmpl,1396 CC,88.7 bhp,219.7Nm@ 1500-2750rpm,5.0
Tata Manza Club Class Quadrajet90 LX,2012,4350.0,60000,Diesel,Individual,Manual,First Owner,21.02 kmpl,1248 CC,88.76 bhp,200Nm@ 1750-3000rpm,5.0
Tata Indigo eCS VX BSIV,2013,4650.0,70000,Diesel,Individual,Manual,First Owner,25.0 kmpl,1396 CC,69 bhp,140Nm@ 1800-3000rpm,5.0
Hyundai i20 1.2 Asta,2018,10500.0,6000,Petrol,Individual,Manual,First Owner,18.6 kmpl,1197 CC,81.83 bhp,114.7Nm@ 4000rpm,5.0
Maruti Swift VXI Optional,2016,8250.0,20000,Petrol,Individual,Manual,First Owner,20.4 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm,5.0
Tata Indigo CS LX (TDI) BS-III,2017,6750.0,70000,Diesel,Individual,Manual,First Owner,19.09 kmpl,1405 CC,69.01 bhp,135Nm@ 2500rpm,5.0
Honda City i VTEC VX,2016,11595.0,65000,Petrol,Individual,Manual,First Owner,17.8 kmpl,1497 CC,117.3 bhp,145Nm@ 4600rpm,5.0
Tata Tiago 1.2 Revotron XZ,2017,6750.0,25000,Petrol,Individual,Manual,First Owner,23.84 kmpl,1199 CC,84 bhp,114Nm@ 3500rpm,5.0
Maruti Eeco 5 Seater AC BSIV,2019,6149.985,10000,Petrol,Individual,Manual,First Owner,15.37 kmpl,1196 CC,73 bhp,101Nm@ 3000rpm,5.0
Maruti 800 Std MPFi,2003,675.0,35000,Petrol,Individual,Manual,Fourth & Above Owner,16.1 kmpl,796 CC,37 bhp,59Nm@ 2500rpm,4.0
Nissan Teana XL,2014,9000.0,80000,Petrol,Individual,Automatic,Second Owner,11.07 kmpl,2496 CC,179.5 bhp,228Nm@ 4400rpm,5.0
Chevrolet Beat LT,2010,3750.0,63000,Petrol,Individual,Manual,First Owner,18.6 kmpl,1199 CC,79.4 bhp,108Nm@ 4400rpm,5.0
Tata Indica V2 DLS TC,2008,1050.0,100000,Diesel,Individual,Manual,First Owner,16.8 kmpl,1405 CC,62 bhp,"12.5@ 2,500(kgm@ rpm)",5.0
Honda Amaze S i-VTEC,2019,10350.0,1303,Petrol,Dealer,Manual,First Owner,17.8 kmpl,1198 CC,86.7 bhp,109Nm@ 4500rpm,5.0
Audi Q5 35TDI Premium Plus,2018,59625.0,31800,Diesel,Dealer,Automatic,First Owner,17.01 kmpl,1968 CC,188 bhp,400nm@ 1750-3000rpm,5.0
Lexus ES 300h,2019,77250.0,20000,Petrol,Dealer,Automatic,First Owner,22.37 kmpl,2487 CC,214.56 bhp,202Nm@ 3600-5200rpm,5.0
Jaguar XF 2.0 Diesel Portfolio,2017,48000.0,45000,Diesel,Dealer,Automatic,First Owner,19.33 kmpl,1999 CC,177 bhp,430Nm@ 1750-2500rpm,5.0
Jeep Wrangler 2016-2019 3.6 4X4,2017,61500.0,17000,Petrol,Individual,Automatic,First Owner,9.5 kmpl,3604 CC,280 bhp,347Nm@ 4300rpm,5.0
Toyota Yaris V BSIV,2018,15000.0,4295,Petrol,Trustmark Dealer,Manual,First Owner,17.1 kmpl,1496 CC,105.5 bhp,140Nm@ 4200rpm,5.0
Toyota Yaris V BSIV,2018,15000.0,5229,Petrol,Trustmark Dealer,Manual,First Owner,17.1 kmpl,1496 CC,105.5 bhp,140Nm@ 4200rpm,5.0
Toyota Camry 2.5 Hybrid,2016,30000.0,68089,Petrol,Trustmark Dealer,Automatic,First Owner,19.16 kmpl,2494 CC,157.7 bhp,213Nm@ 4500rpm,5.0
Maruti Ciaz 1.3 Alpha,2018,13875.0,23712,Diesel,Trustmark Dealer,Manual,First Owner,28.09 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5.0
Honda Jazz VX,2016,8250.0,56494,Petrol,Trustmark Dealer,Manual,First Owner,18.2 kmpl,1199 CC,88.7 bhp,110Nm@ 4800rpm,5.0
Maruti Wagon R VXI BS IV,2018,6450.0,16589,Petrol,Trustmark Dealer,Manual,First Owner,20.51 kmpl,998 CC,67.04 bhp,90Nm@ 3500rpm,5.0
Toyota Innova 2.5 VX (Diesel) 7 Seater,2013,11250.0,79328,Diesel,Trustmark Dealer,Manual,Second Owner,12.99 kmpl,2494 CC,100.6 bhp,200Nm@ 1200-3600rpm,7.0
Honda City i VTEC V,2016,10125.0,53201,Petrol,Trustmark Dealer,Manual,Second Owner,17.8 kmpl,1497 CC,117.3 bhp,145Nm@ 4600rpm,5.0
Maruti Baleno Delta,2017,8550.0,25272,Petrol,Trustmark Dealer,Manual,First Owner,21.01 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm,5.0
Maruti Vitara Brezza ZDi Plus,2017,12750.0,53619,Diesel,Trustmark Dealer,Manual,First Owner,24.3 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5.0
BMW X4 M Sport X xDrive20d,2019,81000.0,7500,Diesel,Dealer,Automatic,First Owner,16.78 kmpl,1995 CC,190 bhp,400Nm@ 1750-2500rpm,5.0
BMW X4 M Sport X xDrive20d,2019,82500.0,8500,Diesel,Dealer,Automatic,First Owner,16.78 kmpl,1995 CC,190 bhp,400Nm@ 1750-2500rpm,5.0
Honda Amaze V CVT Petrol BSIV,2019,11685.0,7032,Petrol,Trustmark Dealer,Automatic,First Owner,19.0 kmpl,1199 CC,88.76 bhp,110Nm@ 4800rpm,5.0
Ford Ecosport 1.5 Petrol Ambiente,2018,9600.0,6001,Petrol,Dealer,Manual,First Owner,15.9 kmpl,1496 CC,120.69 bhp,149Nm@ 4500rpm,5.0
Tata Indigo CS LS (TDI) BS-III,2013,3750.0,80000,Diesel,Individual,Manual,First Owner,19.09 kmpl,1405 CC,69.01 bhp,135Nm@ 2500rpm,5.0
Renault Duster 110PS Diesel RxZ,2018,18750.0,12000,Diesel,Individual,Manual,First Owner,19.6 kmpl,1461 CC,108.45 bhp,245Nm@ 1750rpm,5.0
Ford EcoSport 1.5 Petrol Titanium BSIV,2017,13335.0,25000,Petrol,Individual,Manual,First Owner,17.0 kmpl,1497 CC,121.31 bhp,150Nm@ 4500rpm,5.0
Hyundai i20 2015-2017 Asta Option 1.4 CRDi,2017,11250.0,40000,Diesel,Individual,Manual,Second Owner,22.54 kmpl,1396 CC,88.73 bhp,219.7Nm@ 1500-2750rpm,5.0
Maruti Swift Ldi BSIV,2010,4800.0,130000,Diesel,Individual,Manual,Third Owner,17.8 kmpl,1248 CC,75 bhp,190Nm@ 2000rpm,5.0
Skoda Yeti Ambition 4WD,2011,9000.0,202000,Diesel,Individual,Manual,First Owner,17.67 kmpl,1968 CC,138.08 bhp,320Nm@ 1750-2500rpm,5.0
Maruti Ciaz S 1.3,2018,15000.0,40000,Diesel,Individual,Manual,First Owner,28.09 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5.0
Maruti Zen LX,2000,1650.0,70000,Petrol,Individual,Manual,Fourth & Above Owner,17.3 kmpl,993 CC,60 bhp,78Nm@ 4500rpm,5.0
Honda City 2017-2020 GXi,2008,3750.0,120000,Petrol,Individual,Manual,Second Owner,17.7 kmpl,1497 CC,78 bhp,"12.7@ 2,700(kgm@ rpm)",5.0
Maruti Swift Dzire VDI,2015,9000.0,60000,Diesel,Individual,Manual,First Owner,26.59 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0
Maruti Zen Estilo LXI BS IV,2009,2475.0,60000,Petrol,Individual,Manual,First Owner,19.0 kmpl,998 CC,67.1 bhp,90Nm@ 3500rpm,5.0
Maruti Alto LXI,2004,1770.0,60000,Petrol,Individual,Manual,Second Owner,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm,5.0
Maruti Baleno Delta 1.3,2016,10500.0,78000,Diesel,Individual,Manual,First Owner,27.39 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0
Renault Duster 85PS Diesel RxL Optional,2013,8775.0,80000,Diesel,Individual,Manual,Second Owner,20.46 kmpl,1461 CC,83.8 bhp,200Nm@ 1900rpm,5.0
Maruti Alto LXi,2006,1800.0,120000,Petrol,Individual,Manual,Fourth & Above Owner,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm,5.0
Maruti 800 Std MPFi,2003,975.0,90000,Petrol,Individual,Manual,Fourth & Above Owner,16.1 kmpl,796 CC,37 bhp,59Nm@ 2500rpm,4.0
Maruti Alto LX,2006,2250.0,100000,Petrol,Individual,Manual,Second Owner,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm,5.0
Maruti Alto Std,2009,2250.0,70000,Petrol,Individual,Manual,Fourth & Above Owner,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm,5.0
Hyundai Accent VIVA CRDi,2004,2550.0,160000,Diesel,Individual,Manual,Third Owner,13.1 kmpl,1493 CC,82 bhp,187Nm@ 2500rpm,5.0
Mahindra Scorpio 2.6 CRDe,2006,3750.0,120000,Diesel,Individual,Manual,Third Owner,10.5 kmpl,2179 CC,120 bhp,290Nm@ 1800-2800rpm,8.0
Hyundai Accent CRDi,2005,1500.0,100000,Diesel,Individual,Manual,Third Owner,13.1 kmpl,1493 CC,82 bhp,187Nm@ 2500rpm,5.0
Maruti Ertiga VDI,2013,8985.0,60000,Diesel,Individual,Manual,Second Owner,20.77 kmpl,1248 CC,88.76 bhp,200Nm@ 1750rpm,7.0
Chevrolet Cruze LTZ,2010,3750.0,135000,Diesel,Individual,Manual,Third Owner,18.3 kmpl,1991 CC,147.9 bhp,327Nm@ 2600rpm,5.0
Maruti Swift VXI Optional,2016,8550.0,90000,Petrol,Individual,Manual,First Owner,20.4 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm,5.0
Volkswagen Polo Diesel Highline 1.2L,2013,6600.0,75000,Diesel,Individual,Manual,Second Owner,22.07 kmpl,1199 CC,73.9 bhp,180Nm@ 2000rpm,5.0
Toyota Innova 2.5 E Diesel MS 7-seater,2005,4500.0,185000,Diesel,Individual,Manual,Second Owner,11.4 kmpl,2494 CC,100.6 bhp,200Nm@ 1400-3400rpm,7.0
Nissan Micra XV CVT,2015,4500.0,71717,Petrol,Individual,Automatic,Second Owner,19.34 kmpl,1198 CC,76 bhp,104Nm@ 4400rpm,5.0
Mahindra Scorpio VLX 2WD ABS AT BSIII,2011,7500.0,150000,Diesel,Individual,Automatic,Second Owner,11.79 kmpl,2179 CC,120 bhp,290Nm@ 1800-2800rpm,8.0
Maruti Swift Dzire VDI,2016,9900.0,55000,Diesel,Individual,Manual,First Owner,26.59 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0
Ford Fiesta Classic 1.6 Duratec LXI,2012,3840.0,90000,Petrol,Individual,Manual,Second Owner,15.3 kmpl,1596 CC,99.6 bhp,146Nm@ 3400rpm,5.0
